"Id","Name","Parent","CPU","Threads","WorkingSet","Path"
"4540","svchost",,,"System.Diagnostics.ProcessThreadCollection","3903488",
"4712","svchost",,,"System.Diagnostics.ProcessThreadCollection","6197248",
"4776","svchost",,,"System.Diagnostics.ProcessThreadCollection","1916928",
"5004","svchost",,,"System.Diagnostics.ProcessThreadCollection","1007616",
"5012","svchost",,,"System.Diagnostics.ProcessThreadCollection","1343488",
"5088","svchost",,,"System.Diagnostics.ProcessThreadCollection","8089600",
"5396","svchost",,,"System.Diagnostics.ProcessThreadCollection","2510848",
"5540","svchost",,,"System.Diagnostics.ProcessThreadCollection","2834432",
"5556","svchost",,"0,765625","System.Diagnostics.ProcessThreadCollection","1482752","C:\WINDOWS\system32\svchost.exe"
"5584","svchost",,,"System.Diagnostics.ProcessThreadCollection","1261568",
"5716","svchost",,,"System.Diagnostics.ProcessThreadCollection","925696",
"6204","svchost",,,"System.Diagnostics.ProcessThreadCollection","9744384",
"6540","svchost",,,"System.Diagnostics.ProcessThreadCollection","1204224",
"6748","svchost",,,"System.Diagnostics.ProcessThreadCollection","2920448",
"6792","svchost",,,"System.Diagnostics.ProcessThreadCollection","13119488",
"6828","svchost",,,"System.Diagnostics.ProcessThreadCollection","15921152",
"7348","svchost",,,"System.Diagnostics.ProcessThreadCollection","3284992",
"7796","svchost",,,"System.Diagnostics.ProcessThreadCollection","2260992",
"7872","svchost",,,"System.Diagnostics.ProcessThreadCollection","1466368",
"7896","svchost",,,"System.Diagnostics.ProcessThreadCollection","1642496",
"8000","svchost",,,"System.Diagnostics.ProcessThreadCollection","1531904",
"8212","svchost",,,"System.Diagnostics.ProcessThreadCollection","14602240",
"8580","svchost",,,"System.Diagnostics.ProcessThreadCollection","1032192",
"8620","svchost",,,"System.Diagnostics.ProcessThreadCollection","18161664",
"8628","svchost",,,"System.Diagnostics.ProcessThreadCollection","15319040",
"8808","svchost",,,"System.Diagnostics.ProcessThreadCollection","520192",
"8856","svchost",,,"System.Diagnostics.ProcessThreadCollection","1253376",
"8988","svchost",,,"System.Diagnostics.ProcessThreadCollection","163840",
"9052","svchost",,,"System.Diagnostics.ProcessThreadCollection","2359296",
"9064","svchost",,,"System.Diagnostics.ProcessThreadCollection","1282048",
"9568","svchost",,,"System.Diagnostics.ProcessThreadCollection","1331200",
"10448","svchost",,,"System.Diagnostics.ProcessThreadCollection","5390336",
"10808","svchost",,,"System.Diagnostics.ProcessThreadCollection","1093632",
"10904","svchost",,,"System.Diagnostics.ProcessThreadCollection","8830976",
"11652","svchost",,,"System.Diagnostics.ProcessThreadCollection","7401472",
"11964","svchost",,,"System.Diagnostics.ProcessThreadCollection","835584",
